PGA,T1base,T1full,T2base,T2full,T3base,T3full,T4base,T4full,T5base,T5full,T6base,T6full
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.006264346951834278,0.0007736755586670379,0.0014259505868576073,0.00025523115643666784,0.0002702916106348187,4.019006475374595e-06,0.0057220000659556295,0.004036440036316145,0.00018189182130641792,8.267937024017521e-06,0.0020195188169655686,0.0003614922366391882
0.06,0.027849381493277158,0.01607454947913737,0.027697996986251337,0.015777600523413093,0.010734790867847455,0.0027360459577325364,0.042197589244071285,0.026009735361991904,0.009934493847230788,0.004231514247526915,0.04015720967130175,0.02313914320433295
0.11,0.036704922952951045,0.024430777266171367,0.04936802633074755,0.029510796343168777,0.025956230677957597,0.008162413975410598,0.07713519198891614,0.04666398302375269,0.0312653578326852,0.015904969141879752,0.06882046309679228,0.04659332988833885
0.16,0.05391454974096854,0.032715631209743586,0.08664112079647222,0.04498632947000095,0.05338637115033944,0.017615782155458334,0.1303674571505341,0.07289381367185421,0.0661076939997439,0.03350863741045947,0.10411346941083276,0.06825490932653681
0.21,0.09017287260921407,0.04525742110472926,0.13705898846855225,0.06849359519094338,0.09787659357039828,0.0325743661118248,0.2028553123113687,0.107494939768119,0.12456691344782694,0.05788712080266092,0.1567490411865998,0.09338461699946801
0.26,0.1519810721212536,0.06771494644426455,0.2079472929900538,0.10246124826018685,0.16185667265223397,0.0580410735219136,0.289657232772565,0.15479921707639877,0.20152915348612954,0.09588419224909378,0.21930036434910397,0.12500142287911342
0.31,0.2306444382302089,0.10233551674669594,0.28799687703865073,0.14338571608412096,0.24546919178846377,0.09500978390576549,0.38438659782573076,0.21147358432028035,0.2897726693006327,0.1406598653806626,0.3040955591799848,0.16885236251626148
0.36,0.31861585004343307,0.14679130706803029,0.3712603740320978,0.19277106972232735,0.33750009861833546,0.14165597836675364,0.46708218840370413,0.27944622412493053,0.378798284123691,0.19096730380057733,0.38059277498769,0.21496136728812149
0.41,0.4104814442684378,0.1977861340786906,0.4488958065227382,0.24590171981678863,0.43058889598641403,0.1970254630927296,0.5461643084287042,0.3439532915029185,0.4610548164224148,0.25627799869832396,0.45932169683734236,0.26692563281686166
0.46,0.4951365808254294,0.26260223330371096,0.5341042916566505,0.30749711020438625,0.5101366345129625,0.25745692352789895,0.618123775626107,0.4082159892612821,0.5476253401795202,0.32194753477207716,0.536883723385394,0.3254688046523749
0.51,0.5752687600077384,0.3227192399335122,0.5993684339218214,0.3674777425461944,0.5862486549357365,0.3285535854243965,0.6925926367627004,0.46751925549231615,0.6190868976941105,0.38320774330006097,0.6179904562741314,0.38274689687609703
0.56,0.6515282925973458,0.3983453026071371,0.6621206878802973,0.4322425180060913,0.658807343434061,0.39561746274256965,0.7382387009782011,0.5303551330862548,0.6801322351083859,0.44964971481198773,0.6834809309170661,0.44213658912727677
0.61,0.7173593022787856,0.4542848541459244,0.7238087668234402,0.48478158894396245,0.7245290103186017,0.4632967333966139,0.7828829157360565,0.5880032221483035,0.7386451877674982,0.5066315016081676,0.7272526065595686,0.4988027611808032
0.66,0.7593063914309719,0.5187811460676592,0.7703578175202754,0.5416555375466799,0.7621166405583623,0.5209967986230004,0.8296137964965304,0.6378034699541159,0.7876583281311239,0.5659068512846895,0.7759903133604624,0.5577669740252827
0.71,0.8137620797262429,0.5718742462195832,0.8185965962494861,0.5956124700736424,0.8165164295230666,0.5767113097724892,0.8585511850865696,0.6804560817746438,0.8294782934532917,0.6212667186904849,0.8156397731952446,0.6068460714891855
0.76,0.8412281989869422,0.6270285333331395,0.8512518801250767,0.645364546677545,0.8485654373836472,0.6336578995192316,0.8856648737652454,0.7154179162508932,0.8556893704638313,0.657032559750592,0.8518867522264827,0.6613670012757967
0.81,0.8730119306272188,0.6781128791970299,0.8769035785403838,0.6837349490659955,0.8745224509657262,0.6833334282840927,0.9079766524145138,0.755995734536982,0.8812380587668083,0.7012610409082453,0.8792463270381374,0.7000760133144682
0.86,0.9009008661305582,0.727651777111469,0.9001276663716701,0.729016346296046,0.8960534529685971,0.7224165827110413,0.9239943357332584,0.7895589001785389,0.9022375252614219,0.7397574723577146,0.9045446918070817,0.7339320546463783
0.91,0.9168501496134667,0.7545435128668473,0.9177355324220167,0.7588576909920606,0.916009382127988,0.7578753477483124,0.9400114162957118,0.820656490162942,0.9258886097996901,0.774029669743557,0.9235559789585679,0.7689842461910431
0.96,0.9319103400146053,0.7856605540828777,0.9327920080640739,0.7929678788672623,0.9335879796671236,0.7924957055600697,0.9505221511589895,0.8496344643876498,0.9425887306763774,0.8044093475873201,0.9365332466027458,0.8001510078643309
1.01,0.9475361783007838,0.8143564077933134,0.9471834152218644,0.8212704346275764,0.9461809952065215,0.8238837251933141,0.9593069475133692,0.8655339346539872,0.950218390643504,0.8338067875993999,0.9475036428853699,0.8290895372262111
1.06,0.9588450836445178,0.8413225962909175,0.955839257110575,0.8471758014237409,0.9587516560343727,0.8433349027795966,0.9687779784648554,0.8831037530262137,0.9598037542302289,0.857506141108186,0.9586754580099892,0.8455087766752175
1.11,0.9664370055872433,0.8675370935199699,0.9627199143014414,0.8657768851779093,0.9627131278983124,0.8692170782449149,0.9738716197764055,0.898182994479375,0.9660252335485165,0.8736694872624168,0.9672389191447353,0.8708745662126346
1.16,0.9738953254990266,0.8847768590835245,0.9709470015837876,0.8839426169194134,0.9709288666040228,0.882666387147409,0.9796343307259573,0.9099027440353536,0.9730334719472207,0.8886885274694556,0.9725472902923207,0.8918494081598017
1.21,0.9788859033546672,0.903024473633358,0.9771288288319803,0.9015820117735212,0.9777946895768206,0.9041856480774212,0.9823120897190101,0.9285990650414403,0.9784254831229031,0.9043140982992881,0.9772868434650817,0.9027618206554572
1.26,0.9793605714903425,0.9141089904360645,0.9815524938003451,0.9144782191113802,0.9810331542559624,0.9151993766136898,0.9844302011454664,0.9351424002300667,0.9830686878423331,0.9199444511949585,0.9827508954307473,0.9168065316388084
1.31,0.9839957578512996,0.9256217694286374,0.9848660468690741,0.924714826818565,0.9846323238025713,0.9280767744847838,0.9872911558505778,0.9459230937901354,0.98465658376409,0.9321495116053715,0.9842520250138745,0.9286679645299368
